zipcode,state,sqft,bedrooms,bathrooms,year_built,lot_size,price,has_garage,has_pool,house_type,neighborhood_quality
25795,NC,2094,5,1.0,1959,10539,398922,0,0,Single Family,High
10860,FL,832,3,1.0,1952,10061,282288,1,0,Single Family,Low
86820,TX,3770,5,3.5,1951,8540,519536,0,1,Single Family,High
64886,OR,2437,5,3.0,1977,14910,665232,0,0,Single Family,Medium
16265,NC,2469,2,3.5,1947,10647,426816,1,0,Single Family,High
92386,GA,2956,4,2.0,1989,6337,618547,1,0,Single Family,Low
47194,IL,1593,3,3.5,1918,11660,318949,1,0,Single Family,High
97498,IL,2091,3,1.5,2004,7713,362501,1,0,Townhouse,Medium
54131,FL,1076,4,4.5,1916,7437,361810,1,0,Condo,High
70263,OR,1574,4,3.5,1953,15913,540997,0,0,Condo,High
26023,MA,2269,3,2.5,2002,9203,914396,1,1,Single Family,High
51090,MD,834,5,2.5,2005,20672,418159,1,1,Townhouse,High
77221,CO,1554,4,4.0,1967,13676,443252,1,0,Townhouse,High
74820,MA,1350,5,2.0,2005,6171,508783,0,0,Single Family,High
10769,MD,2099,3,2.0,1934,5827,409903,1,0,Single Family,Medium
69735,FL,2402,5,3.5,1987,3796,599188,1,0,Single Family,High
72955,NY,2519,3,5.0,1940,13029,944457,1,1,Condo,High
74925,MI,2699,2,1.0,1912,5716,261661,1,0,Single Family,High
77969,CO,2960,4,3.0,1932,2000,563580,1,0,Single Family,Medium
15311,MN,2425,4,1.0,1914,2000,313968,1,0,Townhouse,Medium
93104,WA,3321,4,1.0,1962,4479,783679,1,0,Townhouse,High
63707,FL,2083,3,2.0,1914,11684,403293,1,0,Single Family,High
95305,PA,1878,1,2.0,1930,9586,257442,1,0,Single Family,Low
38693,PA,2425,4,2.5,2006,14714,345167,1,0,Single Family,Low
81932,NC,1848,3,2.0,1927,5464,247397,0,0,Condo,High
35658,TX,3296,4,3.5,1909,8378,627559,0,1,Single Family,Medium
94478,PA,2791,3,2.5,1956,18736,362262,1,1,Single Family,High
28431,NY,2525,6,4.5,1970,8294,680657,1,0,Single Family,High
12747,NC,2091,4,1.0,1932,11122,360640,1,0,Single Family,High
69150,OH,1714,4,4.5,1906,6718,283190,0,0,Townhouse,High
75725,PA,2490,5,1.0,1904,8872,264011,1,0,Single Family,High
94654,TX,1211,4,1.0,1989,12376,374477,0,0,Single Family,Medium
45773,WI,3074,1,4.0,2018,13285,476274,1,0,Single Family,Medium
77435,PA,1875,1,1.0,1979,10590,320607,1,0,Single Family,Very High
66886,WI,2213,4,5.0,1956,8700,413696,1,0,Townhouse,Medium
76803,OR,1363,3,4.5,1971,10651,379513,1,1,Single Family,Medium
41551,FL,2506,4,1.0,1985,6319,522808,1,0,Single Family,High
21394,NY,1682,3,1.5,1997,8922,618591,1,0,Condo,Low
79092,NJ,2454,3,1.5,1939,11661,558115,1,0,Single Family,High
13890,MI,2530,4,1.5,1927,14934,347458,1,0,Single Family,Medium
51606,TX,1546,6,3.5,2009,5442,362265,1,0,Single Family,Medium
90038,MD,1213,4,2.5,1935,9113,357594,1,0,Condo,High
97313,AZ,3072,5,4.5,1955,4974,596545,0,0,Single Family,Medium
20627,AZ,1865,6,1.0,1946,7777,462699,1,0,Single Family,High
18792,MN,2157,3,2.5,1970,15002,501262,1,1,Single Family,Very High
83969,MD,2339,3,3.0,2015,7317,524233,0,0,Townhouse,Medium
53001,IL,1122,4,5.0,1939,9520,396540,1,1,Townhouse,Very High
86552,VA,2323,5,3.0,1958,3816,447678,1,0,Single Family,Very High
33897,VA,2069,4,2.0,1942,7194,513828,1,1,Condo,Medium
78148,CO,1549,6,2.5,1991,2258,692945,1,0,Single Family,Medium
33483,CO,1190,1,4.0,2022,11393,397786,1,0,Single Family,Very High
58555,FL,2424,3,1.0,1965,11840,547624,1,0,Single Family,Medium
27159,TX,2789,4,3.5,1908,11684,361710,0,0,Single Family,Medium
90077,CA,2125,3,4.5,1905,12005,745895,1,0,Single Family,Medium
45920,TX,995,2,1.0,2018,11693,264804,0,0,Condo,High
77121,OR,1259,3,4.5,2021,2368,509877,1,0,Single Family,Medium
79479,NC,1697,1,4.0,1964,6061,310602,1,0,Townhouse,Medium
99475,NJ,3095,4,1.0,1902,2000,810383,1,0,Single Family,Medium
29457,OR,1827,5,5.0,1973,7682,538863,1,0,Townhouse,Medium
76557,OR,1672,5,2.0,1936,5646,541306,1,1,Single Family,Medium
87189,AZ,828,4,1.5,2007,9806,340247,1,1,Single Family,High
88953,VA,1540,3,4.0,1986,22297,384152,1,0,Single Family,High
62995,GA,1136,4,2.0,1932,13911,200752,1,1,Single Family,Medium
50757,VA,1297,2,1.0,1908,17647,321547,0,0,Condo,Medium
19692,NC,2083,3,2.0,1952,14107,320228,1,0,Single Family,High
55758,NC,1719,3,3.5,1976,9499,367892,1,1,Single Family,High
82409,TX,3189,5,2.0,1991,9951,429047,1,0,Single Family,High
81211,IL,2754,5,3.0,1950,14322,584362,1,1,Townhouse,High
75697,MD,1573,4,5.0,1970,11241,599801,1,1,Single Family,High
47065,MN,1358,4,4.0,1925,8560,330656,0,1,Single Family,Medium
42606,NY,2967,2,1.5,1915,17132,552346,1,0,Condo,Very High
21534,CA,3162,4,1.0,1939,12223,937659,1,1,Condo,High
50397,MA,500,4,4.0,2021,2874,456077,1,0,Townhouse,Medium
11016,VA,2065,3,2.5,1989,9098,416677,1,0,Single Family,Medium
99789,MA,1823,3,4.0,1950,10251,611537,1,0,Single Family,High
65591,OH,2454,5,3.5,1938,7978,409878,0,1,Townhouse,Medium
99812,NC,3359,4,4.0,1954,8074,462324,1,0,Townhouse,High
33247,MN,1661,5,2.5,1995,7913,440962,0,1,Townhouse,High
34300,FL,557,5,2.0,1935,2000,311557,0,1,Single Family,Medium
84065,GA,2405,6,3.0,2005,2000,486058,0,1,Single Family,Medium
92798,FL,2972,3,2.0,2020,6733,690086,1,0,Townhouse,Low
19268,VA,1787,2,2.0,1964,7997,393297,1,1,Townhouse,Medium
96807,GA,1506,3,2.5,2012,3303,395601,1,0,Single Family,Medium
22185,IL,1693,2,4.5,1984,4878,395765,1,0,Single Family,Low
73704,AZ,2595,4,1.5,1976,8734,534239,1,1,Single Family,Medium
96779,GA,1681,4,2.5,2014,15155,379085,1,0,Townhouse,Medium
49099,IL,2230,4,2.0,1989,14826,485568,1,0,Single Family,Medium
18571,WA,2019,3,4.0,1944,14994,593928,1,0,Condo,Low
48044,MN,1947,5,1.5,1908,4948,408555,1,0,Single Family,Low
61214,OR,2490,1,1.0,1936,8888,508042,1,0,Single Family,Medium
71228,OH,1664,3,1.0,1986,16178,232916,1,1,Single Family,Medium
58984,PA,1698,4,3.5,1900,2000,399016,1,1,Condo,High
50774,GA,2558,4,2.0,1965,7702,443319,1,0,Single Family,Medium
12568,CO,1309,3,4.0,1962,11110,513096,1,0,Single Family,Low
72592,PA,1383,1,4.5,1942,2000,172590,1,0,Single Family,Low
77563,VA,1117,4,3.0,1927,12144,424952,1,0,Single Family,Very High
12695,FL,2594,2,3.0,1999,17734,602428,1,1,Single Family,Medium
58190,NY,1926,2,1.5,1930,16122,645198,0,0,Single Family,High
15258,AZ,1080,4,4.5,2004,9111,264972,0,0,Single Family,Medium
97538,IL,2597,3,1.0,1968,14071,413945,0,1,Single Family,Medium
49504,WI,1611,3,5.0,2000,2000,294966,1,0,Single Family,Low
43159,AZ,1389,3,1.0,1988,11391,413511,1,0,Townhouse,High
23986,OH,1863,6,1.0,1907,8476,239518,0,1,Single Family,Medium
71858,AZ,3035,6,1.0,1933,9252,593688,1,0,Single Family,High
22666,OH,1723,3,4.0,2002,10519,292650,1,1,Townhouse,Very High
48660,IL,2402,3,2.5,1948,11938,530270,1,0,Single Family,High
13561,OH,2508,3,4.0,1995,2739,367932,1,0,Single Family,Very High
36854,VA,2310,3,3.0,1957,5097,452583,1,0,Single Family,Medium
74505,TX,2889,4,4.0,2022,8718,463555,1,0,Townhouse,Medium
62251,FL,1505,4,4.0,1974,2000,428309,1,0,Single Family,High
32662,FL,1269,3,2.5,1946,10686,201272,1,0,Single Family,High
18392,FL,1255,3,1.5,1924,14163,439332,0,0,Townhouse,High
40535,VA,1898,3,4.5,1902,16960,546837,1,0,Single Family,Medium
88603,NC,1337,3,1.5,1944,10482,285028,1,0,Single Family,Low
62256,CO,2103,3,5.0,2013,19431,684586,1,0,Single Family,Low
99135,OH,2053,4,3.0,1951,9824,312738,1,0,Townhouse,Low
45222,FL,2713,4,5.0,1995,3716,661188,1,0,Single Family,Medium
87373,MA,2203,4,5.0,2015,9720,906075,1,0,Townhouse,Low
89575,OH,1708,3,4.5,1998,8971,297176,1,1,Townhouse,Medium
94651,MA,2287,4,4.5,1995,12580,868025,1,0,Single Family,High
73335,OR,1278,3,2.5,1933,11353,294514,1,0,Single Family,Medium
20965,OR,1973,1,2.5,2000,10996,493960,1,0,Townhouse,Medium
34538,CA,2223,4,1.5,2015,14834,858930,1,0,Condo,Low
80592,FL,2090,3,2.5,1968,7850,451919,1,0,Single Family,Medium
18110,AZ,2290,4,2.5,2008,12693,479987,1,1,Townhouse,Very High
89309,GA,1549,4,3.5,1991,11404,370442,1,0,Single Family,Low
